Year,Month,Day,station,PromDiario,Max,Min,indice,Zona
2019,3,7,AJM,24.0,47.0,3.0,30.0,SO
2019,3,8,AJM,23.0,50.0,11.0,28.75,SO
2019,3,9,AJM,24.0,54.0,10.0,30.0,SO
2019,3,10,AJM,16.0,33.0,4.0,20.0,SO
2019,3,11,AJM,12.0,29.0,1.0,15.0,SO
2019,3,12,AJM,39.0,56.0,23.0,48.75,SO
2019,3,13,AJM,34.0,59.0,9.0,42.5,SO
2019,3,14,AJM,48.0,66.0,32.0,61.088,SO
2019,3,15,AJM,57.0,93.0,37.0,74.059,SO
2019,3,16,AJM,44.0,72.0,26.0,55.324,SO
2019,3,17,AJM,50.0,97.0,33.0,63.971,SO
2019,3,18,AJM,35.0,56.0,16.0,43.75,SO
2019,3,19,AJM,34.0,53.0,12.0,42.5,SO
2019,3,20,AJM,36.0,56.0,5.0,45.0,SO
2019,3,21,AJM,39.0,66.0,25.0,48.75,SO
2019,3,22,AJM,29.0,41.0,13.0,36.25,SO
2019,3,23,AJM,30.0,44.0,18.0,37.5,SO
2019,3,24,AJM,32.0,51.0,19.0,40.0,SO
2019,3,25,AJM,30.0,60.0,11.0,37.5,SO
2019,3,26,AJM,28.0,77.0,3.0,35.0,SO
2019,3,27,AJM,31.0,49.0,20.0,38.75,SO
2019,3,28,AJM,39.0,59.0,30.0,48.75,SO
2019,3,29,AJM,44.0,87.0,8.0,55.324,SO
2019,3,30,AJM,59.0,81.0,43.0,76.941,SO
2019,3,31,AJM,58.0,98.0,34.0,75.5,SO
2019,4,1,AJM,50.0,72.0,27.0,63.971,SO
2019,4,2,AJM,41.0,60.0,27.0,51.0,SO
2019,4,3,AJM,26.0,62.0,4.0,32.5,SO
2019,4,4,AJM,44.0,62.0,28.0,55.324,SO
2019,4,5,AJM,62.0,103.0,49.0,81.265,SO
2019,4,6,AJM,14.0,30.0,5.0,17.5,SO
2019,4,7,AJM,35.0,69.0,12.0,43.75,SO
