Year,Month,Day,station,PromDiario,Max,Min,indice,Zona
2019,4,5,AJU,41.0,53.0,29.0,94.043,SO
2019,4,6,AJU,6.0,14.0,1.0,25.0,SO
2019,4,7,AJU,19.0,34.0,6.0,61.277,SO
2019,4,11,AJU,16.0,31.0,3.0,56.809,SO
2019,4,12,AJU,15.0,23.0,5.0,55.319,SO
2019,5,1,AJU,26.0,46.0,3.0,71.702,SO
2019,5,2,AJU,22.0,31.0,11.0,65.745,SO
2019,5,5,AJU,40.0,66.0,21.0,92.553,SO
2019,5,6,AJU,4.0,16.0,1.0,16.667,SO
2019,5,7,AJU,16.0,36.0,2.0,56.809,SO
2019,5,11,AJU,14.0,28.0,4.0,53.83,SO
2019,5,12,AJU,18.0,40.0,4.0,59.787,SO
2019,5,13,AJU,92.0,175.0,56.0,144.941,SO
2019,5,14,AJU,70.0,172.0,37.0,124.329,SO
2019,5,15,AJU,78.0,119.0,48.0,131.824,SO
2019,5,16,AJU,89.0,198.0,30.0,142.13,SO
2019,5,17,AJU,34.0,58.0,11.0,83.617,SO
2019,5,18,AJU,33.0,74.0,14.0,82.128,SO
