FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,CUA,CUT,FAC,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
18/02/2018,14,37,-99,19,25,25,-99,-99,-99,-99,19,-99,25,24,-99,-99,-99,-99,-99,20,31,-99,23,5,-99,24
18/02/2018,15,30,-99,23,21,21,-99,-99,-99,-99,22,-99,35,24,-99,-99,-99,-99,-99,31,40,-99,26,9,-99,21
18/02/2018,16,31,-99,24,21,21,-99,-99,-99,-99,27,-99,24,27,-99,-99,-99,-99,-99,27,34,-99,26,14,-99,20
18/02/2018,17,26,-99,23,21,19,-99,-99,-99,-99,28,-99,26,31,-99,-99,-99,-99,-99,33,26,-99,22,20,-99,24
18/02/2018,18,53,-99,43,53,29,-99,-99,-99,-99,74,-99,18,61,-99,-99,-99,-99,-99,26,24,-99,31,43,-99,36
18/02/2018,19,61,-99,26,40,39,-99,-99,-99,-99,56,-99,17,42,-99,-99,-99,-99,-99,34,31,-99,56,22,-99,51
18/02/2018,20,37,-99,32,28,43,-99,-99,-99,-99,33,-99,18,26,-99,-99,-99,-99,-99,30,23,-99,40,23,-99,27
18/02/2018,21,32,-99,34,32,40,-99,-99,-99,-99,26,-99,24,23,22,-99,-99,-99,-99,34,24,-99,30,22,-99,25
18/02/2018,22,28,-99,30,21,32,-99,-99,-99,-99,25,-99,18,25,24,-99,-99,-99,-99,25,33,-99,30,21,-99,26
18/02/2018,23,22,-99,20,25,34,-99,-99,-99,-99,25,-99,11,15,30,-99,-99,-99,-99,35,34,-99,24,14,-99,23
18/02/2018,24,12,-99,24,16,30,-99,-99,-99,-99,23,-99,15,26,28,-99,-99,-99,-99,27,27,-99,16,29,-99,24
19/02/2018,1,16,-99,13,15,21,-99,-99,-99,-99,27,-99,14,21,24,-99,-99,-99,-99,-99,15,-99,23,28,-99,26
19/02/2018,2,18,-99,14,19,18,-99,-99,-99,-99,22,-99,13,27,21,-99,-99,-99,-99,-99,19,-99,38,15,-99,20
19/02/2018,3,17,-99,14,19,18,-99,-99,-99,-99,16,-99,13,25,27,-99,-99,-99,-99,-99,19,-99,30,16,-99,18
19/02/2018,4,15,-99,16,15,22,-99,-99,-99,-99,15,-99,14,20,33,-99,-99,-99,-99,-99,15,-99,29,12,-99,15
19/02/2018,5,22,-99,28,16,30,-99,-99,-99,-99,14,-99,16,13,32,-99,-99,-99,-99,-99,20,-99,20,19,-99,19
19/02/2018,6,17,-99,14,19,30,-99,-99,-99,-99,15,-99,12,21,27,-99,-99,-99,-99,-99,20,-99,35,17,-99,20
19/02/2018,7,22,-99,20,19,22,-99,-99,-99,-99,15,-99,12,20,28,-99,-99,-99,-99,-99,25,-99,46,20,-99,22
19/02/2018,8,18,-99,17,22,23,-99,-99,-99,-99,17,-99,11,29,30,-99,-99,-99,-99,-99,21,-99,40,20,-99,27
19/02/2018,9,20,-99,16,32,18,-99,-99,-99,-99,17,-99,12,18,25,-99,-99,-99,-99,-99,22,-99,44,12,-99,24
